pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	8	0	0	0	0	0	0	0	0	0	0	0	0
home---study	113	1	0	0	0	0	0	0	0	0	0	0	0
home---work	561	7	0	0	0	0	0	0	0	0	0	0	0
leisure---home	106	1	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	5	0	0	0	0	0	0	0	0	0	0	0	0
leisure---study	3	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	156	3	0	0	0	0	0	0	0	0	0	0	0
shopping---study	3	0	0	0	0	0	0	0	0	0	0	0	0
study---home	252	8	0	0	0	0	0	0	0	0	0	0	0
study---leisure	3	0	0	0	0	0	0	0	0	0	0	0	0
study---shopping	3	0	0	0	0	0	0	0	0	0	0	0	0
study---work	39	0	0	0	0	0	0	0	0	0	0	0	0
work---home	123	1	0	0	0	0	0	0	0	0	0	0	0
work---leisure	106	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	143	3	0	0	0	0	0	0	0	0	0	0	0
work---study	180	5	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 161.19011406844106 seconds = 00:02:41
