pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	8	0	0	0	0	0	0	0	0	0	0	0	0
home---study	113	2	0	0	0	0	0	0	0	0	0	0	0
home---work	561	6	0	0	0	0	0	0	0	0	0	0	0
leisure---home	102	2	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	4	0	0	0	0	0	0	0	0	0	0	0	0
leisure---study	1	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	161	3	0	0	0	0	0	0	0	0	0	0	0
shopping---study	5	0	0	0	0	0	0	0	0	0	0	0	0
study---home	249	8	0	0	0	0	0	0	0	0	0	0	0
study---leisure	1	0	0	0	0	0	0	0	0	0	0	0	0
study---shopping	5	0	0	0	0	0	0	0	0	0	0	0	0
study---work	42	0	0	0	0	0	0	0	0	0	0	0	0
work---home	124	3	0	0	0	0	0	0	0	0	0	0	0
work---leisure	100	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	149	3	0	0	0	0	0	0	0	0	0	0	0
work---study	178	6	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 160.8177874186551 seconds = 00:02:40
