pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	7	0	0	0	0	0	0	0	0	0	0	0	0
home---study	121	1	0	0	0	0	0	0	0	0	0	0	0
home---work	553	7	0	0	0	0	0	0	0	0	0	0	0
leisure---home	100	2	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	5	0	0	0	0	0	0	0	0	0	0	0	0
leisure---study	4	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	161	3	0	0	0	0	0	0	0	0	0	0	0
shopping---study	4	0	0	0	0	0	0	0	0	0	0	0	0
study---home	244	7	0	0	0	0	0	0	0	0	0	0	0
study---leisure	4	0	0	0	0	0	0	0	0	0	0	0	0
study---shopping	5	0	0	0	0	0	0	0	0	0	0	0	0
study---work	47	0	0	0	0	0	0	0	0	0	0	0	0
work---home	128	1	0	0	0	0	0	0	0	0	0	0	0
work---leisure	101	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	148	3	0	0	0	0	0	0	0	0	0	0	0
work---study	172	5	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 160.9608908202064 seconds = 00:02:40
