ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	1721.7379447461392	1721.7379447461392	
1	1720.6961579627655	1720.6961579627655	
2	1729.8631737501078	1729.8631737501078	
3	1738.9644888312985	1738.9644888312985	
4	1725.62610565722	1725.62610565722	
5	1732.812662616025	1732.812662616025	
6	1732.9222707599163	1732.9222707599163	
7	1731.494427979544	1731.494427979544	
8	1740.4984432128642	1740.4984432128642	
9	1730.2463535436805	1730.2463535436805	
10	1733.8900577055856	1733.8900577055856	
11	1741.325252597686	1741.325252597686	
12	1738.4529511047492	1738.4529511047492	
13	1727.4736882940206	1727.4736882940206	
14	1739.3865754341791	1739.3865754341791	
15	1735.537072231722	1735.537072231722	
16	1743.4571029685408	1743.4571029685408	
17	1736.9119990613683	1736.9119990613683	
18	1735.9709358368436	1735.9709358368436	
19	1733.6454965614532	1733.6454965614532	
20	1737.2370186072883	1737.2370186072883	
