pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	5	0	0	0	0	0	0	0	0	0	0	0	0
home---study	306	5	0	0	0	0	0	0	0	0	0	0	0
home---work	479	6	0	0	0	0	0	0	0	0	0	0	0
leisure---home	110	3	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	8	0	0	0	0	0	0	0	0	0	0	0	0
leisure---study	33	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	138	2	0	0	0	0	0	0	0	0	0	0	0
shopping---study	21	0	0	0	0	0	0	0	0	0	0	0	0
study---home	184	6	0	0	0	0	0	0	0	0	0	0	0
study---leisure	33	0	0	0	0	0	0	0	0	0	0	0	0
study---shopping	24	0	0	0	0	0	0	0	0	0	0	0	0
study---work	218	2	0	0	0	0	0	0	0	0	0	0	0
work---home	291	3	0	0	0	0	0	0	0	0	0	0	0
work---leisure	128	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	122	2	0	0	0	0	0	0	0	0	0	0	0
work---study	98	4	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 159.5806163465833 seconds = 00:02:39
