id,h_0_depth,h_450_depth,h_900_depth,h_1350_depth,h_1800_depth,h_2250_depth,h_2700_depth,h_3150_depth,h_3600_depth,h_4050_depth,h_4500_depth,h_4950_depth,h_5400_depth,h_5850_depth,h_6300_depth,h_6750_depth,h_7200_depth
3119,0.0,0.0059790001250803,0.009371000342071,0.0105799995362758,0.0109620001167058,0.0110780000686645,0.0111130001023411,0.0111239999532699,0.0111269997432827,0.0111279999837279,0.0111279999837279,0.0111279999837279,0.0111279999837279,0.0111279999837279,0.0111279999837279,0.0111279999837279,0.0111279999837279
3121,0.0,0.0720250010490417,0.1694999933242797,0.2802009880542755,0.4214859902858734,0.5867609977722168,0.7938590049743652,0.9598309993743896,1.126073956489563,1.3033549785614014,1.4746840000152588,1.649610996246338,1.830575942993164,2.006267070770264,2.164546012878418,2.3561971187591557,2.528839111328125
3123,0.0,0.0113939996808767,0.0255369991064071,0.0389689989387989,0.0476580001413822,0.0520059987902641,0.054101999849081,0.055256001651287,0.0560289993882179,0.0578269995748996,0.0601599998772144,0.062619000673294,0.0649359971284866,0.0678849965333938,0.0706069990992546,0.0727619975805282,0.074363000690937
3125,0.0,0.0155039997771382,0.0425329990684986,0.0639190003275871,0.0755200013518333,0.0810960009694099,0.0838849991559982,0.0852430015802383,0.08610700070858,0.0870240032672882,0.0880659967660904,0.0895859971642494,0.0922690033912658,0.0951040014624595,0.0978230014443397,0.100052997469902,0.1017410010099411
3127,0.0,0.0213159993290901,0.0308870002627372,0.0374500006437301,0.0412739999592304,0.0434920005500316,0.0453060008585453,0.0471980012953281,0.0489070005714893,0.0503709986805915,0.0518469996750354,0.0531960017979145,0.0543970018625259,0.055477999150753,0.0570780001580715,0.0593990013003349,0.0612879991531372
3129,0.0,0.1033509969711303,0.3593159914016723,0.6859599947929382,1.0190409421920776,1.025272011756897,1.0260460376739502,1.0265480279922483,1.0273720026016235,1.0278639793395996,1.0281150341033936,1.030076026916504,1.0325219631195068,1.034890055656433,1.0366400480270386,1.0378669500350952,1.038727045059204
3131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3139,0.0,0.0090410001575946,0.0212680008262395,0.0319669991731643,0.040522001683712,0.0477409996092319,0.0556650012731552,0.065430998802185,0.0758439972996711,0.0853409990668296,0.0924979969859123,0.0976380035281181,0.101451002061367,0.1050480008125305,0.1119749993085861,0.1212230026721954,0.130619004368782
3141,0.0,0.165815994143486,0.4443230032920837,0.874779999256134,1.0693670511245728,1.2260890007019043,1.3757439851760864,1.4841599464416504,1.6280590295791626,1.7949210405349731,1.9667539596557615,2.0211100578308105,2.0686519145965576,2.08655309677124,2.0960490703582764,2.101810932159424,2.105319023132324
3143,0.0,0.0941210016608238,0.2582060098648071,0.5667939782142639,1.0631150007247925,1.3702210187911987,1.6094410419464111,1.892961025238037,2.040083885192871,2.043945074081421,2.049329996109009,2.0537450313568115,2.056972026824951,2.061163902282715,2.0645999908447266,2.067147970199585,2.068985939025879
3145,0.0,0.0766199976205825,0.3622249960899353,0.8067229986190796,1.034214973449707,1.0463789701461792,1.055569052696228,1.062703013420105,1.068405032157898,1.0732630491256714,1.0775059461593628,1.0811419486999512,1.0841469764709473,1.086614966392517,1.0888229608535769,1.0907130241394043,1.0922319889068604
3147,0.0,0.1758880019187927,0.398050993680954,0.637365996837616,1.0454620122909546,1.3015739917755127,1.5282020568847656,1.83194100856781,2.032032966613769,2.042907953262329,2.0503969192504883,2.054821014404297,2.057781934738159,2.0617380142211914,2.065032958984375,2.0675110816955566,2.0693140029907227
3149,0.0,0.2310380041599273,0.7457410097122192,1.266700029373169,1.7681469917297363,2.329519033432007,2.8206610679626465,3.0645220279693604,3.0724380016326904,3.07797908782959,3.0819180011749268,3.084968090057373,3.087440013885498,3.0895650386810303,3.0915169715881348,3.093040943145752,3.096187114715576
3151,0.0,0.0554420016705989,0.1297499984502792,0.2067819982767105,0.2849000096321106,0.3635430037975311,0.4434959888458252,0.5237230062484741,0.6038770079612732,0.6837369799613953,0.763260006904602,0.8424699902534485,0.9213719964027404,0.9999449849128724,1.0595959424972534,1.1171250343322754,1.172948956489563
3153,0.0,0.0107549997046589,0.0193269997835159,0.0281199999153614,0.0371150001883506,0.0459389984607696,0.054441999644041,0.0618089996278286,0.0678279995918273,0.0728640034794807,0.077125996351242,0.0807240009307861,0.0837080031633377,0.0861489996314048,0.0881780013442039,0.0899109989404678,0.0913619995117187
3155,0.0,0.1478739976882934,0.3686130046844482,0.5901150107383728,0.8116239905357361,1.0040260553359983,1.004992961883545,1.004997968673706,1.004992961883545,1.004991054534912,1.0049890279769895,1.0049879550933838,1.0049879550933838,1.0049879550933838,1.0051369667053225,1.0051660537719729,1.0051660537719729
3157,0.0,0.0118199996650218,0.0211449991911649,0.0295039992779493,0.0363399982452392,0.0425259992480278,0.0484119988977909,0.053677000105381,0.0583709999918937,0.06318199634552,0.0677729994058609,0.0716499984264373,0.0746679976582527,0.0771609991788864,0.0794359967112541,0.081396996974945,0.0829989984631538
3159,0.0,0.2302049994468689,0.8771610260009766,1.835129976272583,2.628643035888672,3.1624341011047363,3.545248985290528,3.975857973098755,4.027608871459961,4.036351203918457,4.041919231414795,4.045204162597656,4.047370910644531,4.049530982971191,4.051511764526367,4.05309009552002,4.054295063018799
3161,0.0,0.1825110018253326,0.4905970096588135,0.9735100269317628,1.110664963722229,1.426745057106018,1.763721942901611,2.101238965988159,2.43877911567688,2.7763259410858154,3.1138761043548584,3.451427936553955,3.7889809608459473,4.12653398513794,4.464087963104248,4.80164098739624,5.139194965362549
3163,0.0,0.047614000737667,0.1066510006785392,0.1658989936113357,0.2251700013875961,0.2844429910182953,0.3439379930496216,0.4044579863548279,0.4649930000305176,0.5255299806594849,0.5860880017280579,0.6466659903526306,0.7765910029411316,0.960785984992981,1.0100120306015017,1.009608030319214,1.0194419622421265
