pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	8	0	0	0	0	0	0	0	0	0	0	0	0
home---study	107	1	0	0	0	0	0	0	0	0	0	0	0
home---work	564	7	0	0	0	0	0	0	0	0	0	0	0
leisure---home	103	2	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	4	0	0	0	0	0	0	0	0	0	0	0	0
leisure---study	3	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	160	3	0	0	0	0	0	0	0	0	0	0	0
shopping---study	5	0	0	0	0	0	0	0	0	0	0	0	0
study---home	254	7	0	0	0	0	0	0	0	0	0	0	0
study---leisure	3	0	0	0	0	0	0	0	0	0	0	0	0
study---shopping	5	0	0	0	0	0	0	0	0	0	0	0	0
study---work	35	0	0	0	0	0	0	0	0	0	0	0	0
work---home	121	1	0	0	0	0	0	0	0	0	0	0	0
work---leisure	101	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	148	3	0	0	0	0	0	0	0	0	0	0	0
work---study	182	6	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 160.85334057577404 seconds = 00:02:40
