pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	8	0	0	0	0	0	0	0	0	0	0	0	0
home---study	110	2	0	0	0	0	0	0	0	0	0	0	0
home---work	561	7	0	0	0	0	0	0	0	0	0	0	0
leisure---home	101	2	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	4	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	162	3	0	0	0	0	0	0	0	0	0	0	0
shopping---study	6	0	0	0	0	0	0	0	0	0	0	0	0
study---home	254	5	0	0	0	0	0	0	0	0	0	0	0
study---shopping	6	0	0	0	0	0	0	0	0	0	0	0	0
study---work	38	0	0	0	0	0	0	0	0	0	0	0	0
work---home	119	1	0	0	0	0	0	0	0	0	0	0	0
work---leisure	99	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	150	3	0	0	0	0	0	0	0	0	0	0	0
work---study	179	6	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 160.52235550708832 seconds = 00:02:40
