pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	9	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	7	0	0	0	0	0	0	0	0	0	0	0	0
home---study	120	1	0	0	0	0	0	0	0	0	0	0	0
home---work	556	7	0	0	0	0	0	0	0	0	0	0	0
leisure---home	102	2	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	3	0	0	0	0	0	0	0	0	0	0	0	0
leisure---study	3	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	158	4	0	0	0	0	0	0	0	0	0	0	0
study---home	243	8	0	0	0	0	0	0	0	0	0	0	0
study---leisure	3	0	0	0	0	0	0	0	0	0	0	0	0
study---work	49	0	0	0	0	0	0	0	0	0	0	0	0
work---home	129	1	0	0	0	0	0	0	0	0	0	0	0
work---leisure	100	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	148	4	0	0	0	0	0	0	0	0	0	0	0
work---study	176	4	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 160.50081654872073 seconds = 00:02:40
