pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	9	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	7	0	0	0	0	0	0	0	0	0	0	0	0
home---study	111	3	0	0	0	0	0	0	0	0	0	0	0
home---work	558	7	0	0	0	0	0	0	0	0	0	0	0
leisure---home	104	1	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	5	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	158	3	0	0	0	0	0	0	0	0	0	0	0
shopping---study	5	0	0	0	0	0	0	0	0	0	0	0	0
study---home	247	7	0	0	0	0	0	0	0	0	0	0	0
study---shopping	5	0	0	0	0	0	0	0	0	0	0	0	0
study---work	42	0	0	0	0	0	0	0	0	0	0	0	0
work---home	124	1	0	0	0	0	0	0	0	0	0	0	0
work---leisure	103	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	145	4	0	0	0	0	0	0	0	0	0	0	0
work---study	176	6	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 160.69087930092846 seconds = 00:02:40
