pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	6	0	0	0	0	0	0	0	0	0	0	0	0
home---study	148	1	0	0	0	0	0	0	0	0	0	0	0
home---work	547	7	0	0	0	0	0	0	0	0	0	0	0
leisure---home	108	3	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	6	0	0	0	0	0	0	0	0	0	0	0	0
leisure---study	18	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	152	3	0	0	0	0	0	0	0	0	0	0	0
shopping---study	12	0	0	0	0	0	0	0	0	0	0	0	0
study---home	241	8	0	0	0	0	0	0	0	0	0	0	0
study---leisure	18	0	0	0	0	0	0	0	0	0	0	0	0
study---shopping	13	1	0	0	0	0	0	0	0	0	0	0	0
study---work	69	0	0	0	0	0	0	0	0	0	0	0	0
work---home	150	1	0	0	0	0	0	0	0	0	0	0	0
work---leisure	111	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	138	3	0	0	0	0	0	0	0	0	0	0	0
work---study	166	5	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 159.87905301080804 seconds = 00:02:39
