pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---leisure	8	0	0	0	0	0	0	0	0	0	0	0	0
home---shopping	8	0	0	0	0	0	0	0	0	0	0	0	0
home---study	122	1	0	0	0	0	0	0	0	0	0	0	0
home---work	556	7	0	0	0	0	0	0	0	0	0	0	0
leisure---home	97	1	0	0	0	0	0	0	0	0	0	0	0
leisure---shopping	4	0	0	0	0	0	0	0	0	0	0	0	0
leisure---study	2	0	0	0	0	0	0	0	0	0	0	0	0
shopping---home	164	3	0	0	0	0	0	0	0	0	0	0	0
shopping---study	2	0	0	0	0	0	0	0	0	0	0	0	0
study---home	245	7	0	0	0	0	0	0	0	0	0	0	0
study---leisure	2	0	0	0	0	0	0	0	0	0	0	0	0
study---shopping	2	0	0	0	0	0	0	0	0	0	0	0	0
study---work	51	0	0	0	0	0	0	0	0	0	0	0	0
work---home	134	1	0	0	0	0	0	0	0	0	0	0	0
work---leisure	97	0	0	0	0	0	0	0	0	0	0	0	0
work---shopping	152	3	0	0	0	0	0	0	0	0	0	0	0
work---study	175	5	0	0	0	0	0	0	0	0	0	0	0

average trip duration: 160.5575987020011 seconds = 00:02:40
